,Title,Price,Shopping_Link
0,Ariel Cabernet Sauvignon Non-Alcoholic Red Wine by MY SANCTUARY,$19.98 ,https://www.amazon.com/dp/B005MRMOAU
1,"Dark Horse Cabernet Sauvignon, 750 ml",$7.99 ,https://www.amazon.com/dp/B00AH5AOUE
2,"Dark Horse Chardonnay, 750 ml",$8.99 ,https://www.amazon.com/dp/B01EVBDL5E
3,St Regis Cabernet Sauvignon (non alcoholic wine),$23.97 ,https://www.amazon.com/dp/B071NQ6BVC
4,"Meiomi Pinot Noir Red Wine, 750 mL bottle",$23.99 ,https://www.amazon.com/dp/B00QVKYCQ6
5,"Ruffino Prosecco DOC Sparkling White Wine, 750 mL bottle",$12.99 ,https://www.amazon.com/dp/B005J0PWG8
6,"Chateau Souverain Cabernet Sauvignon, 750 ml",,https://www.amazon.com/dp/B002N6695E
7,"Cook's Brut Sparkling Wine, 750mL Bottle",$7.99 ,https://www.amazon.com/dp/B007C68Q60
8,"Robert Mondavi Winery Cabernet Sauvignon, 750 ml",$21.99 ,https://www.amazon.com/dp/B00KVGMSVC
9,"Meiomi Chardonnay White Wine, 750 mL bottle",$17.99 ,https://www.amazon.com/dp/B01CG9VCUE
10,"Rex Goliath Pinot Noir Red Wine, 750 mL bottle",$5.66 ,https://www.amazon.com/dp/B002N66904
11,St Regis Sparkling Brut (Non Alcoholic Wine),$29.95 ,https://www.amazon.com/dp/B076CNQMMQ
12,"Nobilo Sauvignon Blanc, 750 ml",,https://www.amazon.com/dp/B00BWEAHR4
13,"Cook's Sparkling California Champagne Brut White Wine, 1.5 L bottle",$16.99 ,https://www.amazon.com/dp/B005HQN74S
14,"Barefoot Pinot Grigio, 1.5 L",$8.99 ,https://www.amazon.com/dp/B01N0086CT
15,"Estancia Cabernet Sauvignon, 750mL Bottle",$11.99 ,https://www.amazon.com/dp/B006GIPJFQ
16,"Barefoot Pinot Noir, 750 ml",,https://www.amazon.com/dp/B005HQPSO0
17,"Hogue Late Harvest Riesling White Wine, 750 mL bottle",$7.99 ,https://www.amazon.com/dp/B005VU03D8
18,"Cook's Sparkling California Champagne Grande Reserve White Wine, 750 mL bottle",$7.99 ,https://www.amazon.com/dp/B005J6MB2U
19,"Franciscan Napa Valley Cabernet Sauvignon Red Wine, 750 mL bottle",$24.99 ,https://www.amazon.com/dp/B002N669NG